# tag hR EA GA2 GA3 GJ EI2 EI3
KIRCH_C 0.01 4.397922e+09 8.456597e+08 8.456597e+08 1.690918e+09 2.198453e+09 2.198461e+09
RM_C 0.01 4.397947e+09 8.457717e+08 8.457717e+08 1.690918e+09 2.198462e+09 2.198462e+09
KIRCH_O 0.01 4.419956e+09 8.414508e+08 8.414522e+08 1.682415e+09 2.209433e+09 2.209432e+09
RM_O 0.01 4.419937e+09 8.415384e+08 8.415384e+08 1.682415e+09 2.209453e+09 2.209453e+09
KIRCH_I 0.01 4.375941e+09 8.499075e+08 8.499094e+08 1.699336e+09 2.187444e+09 2.187448e+09
RM_I 0.01 4.375957e+09 8.499965e+08 8.499965e+08 1.699336e+09 2.187471e+09 2.187471e+09
KIRCH_C 0.03 1.319401e+10 2.537276e+09 2.537276e+09 5.074106e+09 6.595827e+09 6.595819e+09
RM_C 0.03 1.319384e+10 2.537711e+09 2.537711e+09 5.074106e+09 6.596000e+09 6.596000e+09
KIRCH_O 0.03 1.339253e+10 2.499758e+09 2.499772e+09 4.996857e+09 6.694755e+09 6.694763e+09
RM_O 0.03 1.339175e+10 2.499548e+09 2.499548e+09 4.996857e+09 6.694924e+09 6.694924e+09
KIRCH_I 0.03 1.299671e+10 2.575921e+09 2.575921e+09 5.149072e+09 6.496867e+09 6.496862e+09
RM_I 0.03 1.299593e+10 2.575643e+09 2.575643e+09 5.149072e+09 6.497076e+09 6.497076e+09
KIRCH_C 0.06 2.638769e+10 5.076528e+09 5.076551e+09 1.015735e+10 1.319508e+10 1.319440e+10
RM_C 0.06 2.638768e+10 5.078098e+09 5.078098e+09 1.015735e+10 1.319614e+10 1.319614e+10
KIRCH_O 0.06 2.718011e+10 4.928649e+09 4.928650e+09 9.844265e+09 1.359072e+10 1.359077e+10
RM_O 0.06 2.717931e+10 4.925150e+09 4.925150e+09 9.844265e+09 1.359189e+10 1.359189e+10
KIRCH_I 0.06 2.559677e+10 5.233597e+09 5.233600e+09 1.045217e+10 1.279900e+10 1.279888e+10
RM_I 0.06 2.559605e+10 5.229168e+09 5.229168e+09 1.045217e+10 1.280040e+10 1.280040e+10
KIRCH_C 0.12 5.278161e+10 1.016911e+10 1.016907e+10 2.038777e+10 2.642458e+10 2.641623e+10
RM_C 0.12 5.277537e+10 1.017759e+10 1.017759e+10 2.038777e+10 2.642536e+10 2.642536e+10
KIRCH_O 0.12 5.594852e+10 9.593071e+09 9.593070e+09 1.910659e+10 2.800154e+10 2.800133e+10
RM_O 0.12 5.594189e+10 9.564551e+09 9.564551e+09 1.910659e+10 2.800936e+10 2.800936e+10
KIRCH_I 0.12 4.961469e+10 1.081866e+10 1.081865e+10 2.152285e+10 2.483037e+10 2.483037e+10
RM_I 0.12 4.960884e+10 1.077476e+10 1.077476e+10 2.152285e+10 2.484164e+10 2.484164e+10
KIRCH_C 0.2 8.798765e+10 1.701202e+10 1.701201e+10 3.426829e+10 4.412772e+10 4.412974e+10
RM_C 0.2 8.795894e+10 1.704709e+10 1.704709e+10 3.426829e+10 4.417248e+10 4.417248e+10
KIRCH_O 0.2 9.678508e+10 1.546258e+10 1.546258e+10 3.062474e+10 4.854889e+10 4.854889e+10
RM_O 0.2 9.675484e+10 1.534458e+10 1.534458e+10 3.062474e+10 4.857949e+10 4.857949e+10
KIRCH_I 0.2 7.918867e+10 1.890524e+10 1.890525e+10 3.723550e+10 3.971243e+10 3.971249e+10
RM_I 0.2 7.916305e+10 1.866691e+10 1.866691e+10 3.723550e+10 3.976883e+10 3.976883e+10
KIRCH_C 0.35 1.540657e+11 3.013306e+10 3.013324e+10 6.159760e+10 7.780332e+10 7.780043e+10
RM_C 0.35 1.539281e+11 3.030771e+10 3.030771e+10 6.159760e+10 7.802830e+10 7.802830e+10
KIRCH_O 0.35 1.810364e+11 2.562133e+10 2.562163e+10 5.016116e+10 9.149561e+10 9.148992e+10
RM_O 0.35 1.808656e+11 2.512490e+10 2.512490e+10 5.016116e+10 9.160257e+10 9.160257e+10
KIRCH_I 0.35 1.271120e+11 3.655017e+10 3.655025e+10 6.940925e+10 6.415874e+10 6.415849e+10
RM_I 0.35 1.269907e+11 3.489068e+10 3.489068e+10 6.940925e+10 6.450259e+10 6.450259e+10
KIRCH_C 0.5 2.202957e+11 4.386268e+10 4.386271e+10 9.159103e+10 1.124043e+11 1.124034e+11
RM_C 0.5 2.198974e+11 4.434284e+10 4.434284e+10 9.159103e+10 1.130419e+11 1.130419e+11
KIRCH_O 0.5 2.753768e+11 3.500897e+10 3.500881e+10 6.823903e+10 1.408499e+11 1.408521e+11
RM_O 0.5 2.748717e+11 3.386074e+10 3.386074e+10 6.823903e+10 1.410187e+11 1.410187e+11
KIRCH_I 0.5 1.652297e+11 5.857840e+10 5.858194e+10 1.043752e+11 8.422581e+10 8.418328e+10
RM_I 0.5 1.649230e+11 5.241226e+10 5.241226e+10 1.043752e+11 8.527887e+10 8.527887e+10
