# tag hR EA GA2 GA3 GJ EI2 EI3
SHELL_C 0.01 4.401286e+09 8.454499e+08 8.454493e+08 1.690954e+09 2.199655e+09 2.199565e+09
SHELL_C 0.03 1.320008e+10 2.536845e+09 2.536829e+09 5.075088e+09 6.595069e+09 6.597389e+09
SHELL_C 0.06 2.639509e+10 5.077030e+09 5.076967e+09 1.016520e+10 1.318843e+10 1.319809e+10
SHELL_C 0.12 5.278999e+10 1.018080e+10 1.018062e+10 2.045058e+10 2.639678e+10 2.643116e+10
SHELL_C 0.2 8.800370e+10 1.707379e+10 1.707305e+10 3.455908e+10 4.404332e+10 4.419354e+10
SHELL_C 0.35 1.541348e+11 3.047869e+10 3.047396e+10 6.315601e+10 7.779500e+10 7.813547e+10
SHELL_C 0.5 2.204827e+11 4.487771e+10 4.485467e+10 9.613448e+10 1.124657e+11 1.133651e+11
SHELL_O 0.01 4.419464e+09 8.370761e+08 8.370500e+08 1.674030e+09 2.208874e+09 2.208682e+09
SHELL_O 0.03 1.338933e+10 2.462758e+09 2.462754e+09 4.922529e+09 6.698434e+09 6.693951e+09
SHELL_O 0.06 2.717971e+10 4.788097e+09 4.786797e+09 9.554031e+09 1.359785e+10 1.359263e+10
SHELL_O 0.12 5.597906e+10 9.078828e+09 9.078596e+09 1.800630e+10 2.800076e+10 2.802411e+10
SHELL_O 0.2 9.688583e+10 1.418312e+10 1.418272e+10 2.781609e+10 4.864880e+10 4.863427e+10
SHELL_O 0.35 1.815374e+11 2.238660e+10 2.238709e+10 4.320026e+10 9.182664e+10 9.185262e+10
SHELL_O 0.5 2.766474e+11 2.946408e+10 2.936389e+10 5.796185e+10 1.432139e+11 1.416343e+11
SHELL_I 0.01 4.378604e+09 8.539748e+08 8.539739e+08 1.707842e+09 2.187785e+09 2.187940e+09
SHELL_I 0.03 1.300109e+10 2.615009e+09 2.614995e+09 5.226689e+09 6.495919e+09 6.498366e+09
SHELL_I 0.06 2.560701e+10 5.398729e+09 5.398686e+09 1.076871e+10 1.278663e+10 1.280445e+10
SHELL_I 0.12 4.964555e+10 1.154761e+10 1.154571e+10 2.283360e+10 2.425632e+10 2.486082e+10
SHELL_I 0.2 7.933512e+10 2.121815e+10 2.121658e+10 4.101850e+10 3.937263e+10 3.987252e+10
SHELL_I 0.35 1.278868e+11 4.578920e+10 4.576301e+10 8.159199e+10 6.785905e+10 6.516154e+10
SHELL_I 0.5 1.675319e+11 8.381612e+10 8.325552e+10 1.298762e+11 7.628789e+10 8.747789e+10
